,Name,Fund,CIK,Personal Net Worth,Description,Photo,Status
,David Siegel,Two Sigma Investments LLC,0001179392,"$6,100,000,000","Born in the Bronx, David Siegel is a computer fanatic who got a computer science Ph.D. from MIT and worked at hedge funds D.E. Shaw and Tudor Investments. He is the co-founder of Two Sigma Investments.",https://www.forbes.com/profile/david-siegel-1/?list=rtb/#4e91bfdc7bc8,Complete
,Bruce Kovner,CAM Capital / Caxton Associates LP (no longer with),0001325713,"$5,300,000,000","Bruce Kovner is chairman of CAM Capital, founded in 2012, which manages his personal investment and business portfolios. Kovner is the founder and chairman of Caxton Associates, a global macro hedge fund. Kovner retired from the hedge fund in 2011 after running it for three decades.",https://www.forbes.com/profile/bruce-kovner/?list=rtb/#3521fe727c18,Complete
,Paul Tudor Jones II,Tudor Investment Corporation,0001080384,"$5,100,000,000","Hedge fund manager Paul Tudor Jones II is known for his macro trades, particularly his bets on interest rates and currencies. In 1980, he founded Tudor Investment Corporation, which had a  long record of double-digit annualized returns.",https://www.forbes.com/profile/paul-tudor-jones-ii/?list=rtb/#3af24390719c,Complete
,Robert Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000","Robert Ziff is an American billionaire and the middle son of publishing magnate William Bernard Ziff, Jr. and grandson of William Bernard Ziff Sr. He and his two brothers inherited the family fortune in 1994. The brothers created Ziff Brothers Investments, investing their inheritances broadly across equities, debt, real estate, commodities, private equity and hedge funds.",https://www.forbes.com/profile/robert-ziff/?list=rtb/#19a27cac79c0,Complete
,Daniel Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000","Daniel Ziff is an American billionaire and the youngest son of publishing magnate William Bernard Ziff, Jr. and grandson of William Bernard Ziff Sr. He and his two brothers inherited the family fortune in 1994. The brothers created Ziff Brothers Investments, investing their inheritances broadly across equities, debt, real estate, commodities, private equity and hedge funds.",https://www.forbes.com/profile/daniel-ziff/?list=rtb/#47b2b1e719bc,Complete
,Dirk Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000","Dirk Ziff is an American billionaire and the eldest son of publishing magnate William Bernard Ziff, Jr. and grandson of William Bernard Ziff Sr. Through their Ziff Brothers Investments, which had hedge funds in the U.S. and in London, the brothers greatly expanded their inheritance. In 2015, Dirk Ziff formed his own family office, Ziff Capital Partners.",https://www.forbes.com/profile/dirk-ziff/?list=rtb/#4c930b771bb6,Complete
,Stanley Druckenmiller,Duquesne Family Office LLC,0001536411,"$4,700,000,000","Stanley Druckenmiller made it big as a hedge fund manager for 30 years. He now manages his money through a family office. Until 2000, he worked for George Soros. The duo famously bet against the British pound in 1992 and made massive profits.",https://www.forbes.com/profile/stanley-druckenmiller/?list=rtb/#4fc3583417ff,Complete
,John Paulson,Paulson & Co. Inc.,0000704159,"$4,200,000,000","John Paulson is an American billionaire and hedge fund manager. He leads Paulson & Co., a New York-based investment management firm he founded in 1994. According to Forbes Magazine, his estimated net worth is $4.2 billion.",https://www.forbes.com/profile/john-paulson/?list=rtb/#1be394f7418d,Complete
,Michael Milken,Milken Michael R,0001045218,"$3,700,000,000","Mike Milken joined what became investment bank Drexel Burnham Lambert in 1969 and expanded the market for high-yield junk bonds. Milken has investments in private equity, hedge funds, venture capital, and more than one asset management firm.",https://www.forbes.com/profile/michael-milken/?list=rtb/#193dfc9b390e,Complete
,Paul Singer,Elliott Management,0001048445,"$3,500,000,000","Hedge fund magnate Paul Singer is known for his high-profile, and often combative, dealmaking. He founded his hedge fund firm, Elliott Management, in 1977 with $1.3 million. The firm now has some $35 billion in assets under management.",https://www.forbes.com/profile/paul-singer/?list=rtb/#265412fb795e,Complete
,Ken Langone,Invemed Associates LLC,0000051803,"$3,600,000,000","In 1978, Ken Langone made an early investment in Home Depot and became a cofounder with Arthur Blank and Bernard Marcus, now billionaires. After two years in the U.S. Army, he made a name for himself on Wall Street, taking Ross Perot Sr.'s Electronic Data Systems public in 1968.",https://www.forbes.com/profile/ken-langone/?list=rtb/#69f44b2c385c,Complete
,John Arnold,"Centaurus Financial, Inc (no longer with)",0000891943,"$3,300,000,000","John Arnold is an American billionaire, former hedge fund manager, and former natural gas trader at Enron. His firm, Centaurus Advisors, LLC, was a Houston-based hedge fund, composed of former Enron traders, that specialized in trading energy products. Arnold now focuses on his political activism through Arnold Ventures LLC.",https://www.forbes.com/profile/john-arnold/?list=rtb/#4a64970a1100,Complete
,Jonathan Gray,Blackstone Group Inc,0001393818,"$3,500,000,000","Jonathan Gray started at asset manager Blackstone Group fresh out of college in 1992 and later rose to head the firm's vaunted real estate group. Under Gray, Blackstone's real estate investments became one of its most valuable portfolios, with $140 billion in assets.",https://www.forbes.com/profile/jonathan-gray/?list=rtb/#3fe4de141f8d,Complete
,Leon G. Cooperman,Cooperman Leon G,0000898382,"$3,200,000,000","A Wall Street legend, Leon Cooperman built up Goldman Sachs' asset management division, GSAM, in his quarter-century with the investment bank. Cooperman founded Omega Advisors in 1991, a hedge fund known for strong performance; he shut down the fund at the end of 2018.",https://www.forbes.com/profile/leon-g-cooperman/?list=rtb/#29550f9f18f7,Complete
,Daniel Och,Och Daniel,0001417561,"$3,100,000,000","Dan Och founded Och-Ziff Capital Management, now a publicly traded hedge fund firm, 25 years ago. Och stepped down as chairman of his hedge fund firm and no longer has a role.",https://www.forbes.com/profile/daniel-och/?list=rtb/#4e0556803528,Complete
,Ira Rennert,Renco Group,0000804236,"$3,000,000,000","Ira Rennert is the founder of the Renco Group, an industrial empire with estimated annual revenues of $5 billion. Renco's holdings include a stake in military truckmaker AM General, lead and zinc producer Doe Run Company and U.S. Magnesium Corp., among others.",https://www.forbes.com/profile/ira-rennert/?list=rtb/#3935890d32b7,Complete
,Steven Klinsky,Klinsky Steven B / New Mountain Capital,0001018327,"$3,000,000,000","Klinsky founded $20 billion in assets private equity firm New Mountain Capital in 1999, one of the buyout industry's top-performing firms. New Mountain Capital, LCC operates as a private equity firm. The company manages private and public equity and credit capital.",https://www.forbes.com/profile/steven-klinsky/?list=rtb/#3515cc7313af,Complete
,Mark Walter,"Guggenheim Partners, LLC",0001425498,"$2,900,000,000","Mark Walter is CEO of investment firm Guggenheim Partners, which has some $270 billion in assets under management. Walter helped found the firm in the late 1990s after he folded his Chicago-based company, Liberty Hampshire, into the Guggenheim family office.",https://www.forbes.com/profile/mark-walter/?list=rtb/#3ad60af66123,Complete
,Peter Kellogg,IAT Reinsurance Co Ltd,0001633625,"$2,800,000,000","Peter Kellogg sold brokerage house Spear, Leeds & Kellogg to Goldman Sachs for $6.5 billion in cash and stock in 2000. Kellogg joined the firm, where his father was a partner, in 1973 and took over several years later. Under his leadership, the firm became the first specialist brokerage to control more than 10% of the stocks trading on the New York Stock Exchange.",https://www.thecelebworth.com/wp-content/uploads/2014/04/Peter-Kellogg-Net-Worth.jpg,Complete
,Noam Gottesman,Gottesman Noam,0001416192,"$2,700,000,000","Noam Gottesman co-founded hedge fund GLG Partners in 1995, which started out as a subsidiary of Lehman Brothers. GLG went public in 2007 and was sold to Man Group for $1.6 billion in 2010. Gottesman stepped down as CEO at the time of the sale. In 2014, Gottesman co-founded Nomad Foods, which is today Europe's largest frozen food company.",https://www.forbes.com/profile/noam-gottesman/?list=rtb/#7d58891b1e0f,Complete
,Antony Ressler,Ares Management,0001025978,"$2,800,000,000","Antony ""Tony"" Ressler co-founded private equity giant Apollo Management with brother-in-law and fellow billionaire Leon Black in 1990. Like Black, he had previously worked at Wall Street firm Drexel Burnham Lambert, where he was known for his role in the bond department. In 1997, he co-founded private equity firm Ares Management. He stepped down as CEO in December 2017 and became executive chairman.",https://www.forbes.com/profile/antony-ressler/?list=rtb/#37a8cd257051,Complete
,Jim Coulter,TPG,0001099776,"$2,600,000,000","Jim Coulter is co-CEO and founding partner of private equity giant TPG, which has $84 billion in assets under management. Coulter met his longtime business partner David Bonderman while working for billionaire Robert Bass. The pair left in 1992 to found TPG.",https://www.forbes.com/profile/jim-coulter/?list=rtb/#681904d81fbe,Complete
,Herbert Wertheim,Brain Power Inc,0001346494,"$2,500,000,000","Herbert ""Herbie"" Wertheim is an optometrist and inventor who built a fortune over five decades of investing in stocks. He founded and still runs Brain Power Inc., a manufacturer of optical tints for eyeglasses; it holds more than 100 patents and copyrights. Since 1970, he has invested his profits from Brain Power into the stock market and is the largest individual shareholder in aerospace firm Heico.",https://www.forbes.com/profile/herbert-wertheim/?list=rtb/#e4955cb577a4,Complete
,Ron Baron,Baron Funds,0001217673,"$2,500,000,000","Ron Baron is the CEO of Baron Funds, a money management firm he founded in 1982; it has $30 billion in assets under management as of September 2019.",https://www.forbes.com/profile/ron-baron/?list=rtb/#7d29923a6602,Complete
,Bruce Karsh,Oaktree Capital Management,0000949509,"$2,200,000,000","Bruce Karsh runs Los Angeles-based private equity firm Oaktree Capital Management with longtime partner Howard Marks; they founded it in 1995. In September 2019, Brookfield Asset Management acquired 61% of Oaktree for roughly $4.9 billion in cash and stock. A leading debt investor, Oaktree manages over $120 billion in assets, two-thirds of which is invested in corporate or distressed debt.",https://www.forbes.com/profile/bruce-karsh/?list=rtb/#5999c7e15106,Complete
,James Dinan,York Capital Management,0000879074,"$2,200,000,000","James Dinan founded York Capital Management in 1991 and is the chairman, CEO and managing partner of the money management firm. York Capital had $19 billion of assets under management as of July 2019.",https://www.forbes.com/profile/james-dinan/?list=rtb/#3719fec936d1,Complete
,Brian Sheth,Vista Equity Partners,0001782665,"$2,200,000,000","Brian Sheth cofounded private equity firm Vista Equity Partners in 2000 with Robert Smith. Sheth oversees all deal-making at Vista, which has in recent years conducted more software acquisitions than any other company or investor.",https://www.forbes.com/profile/brian-sheth/?list=rtb/#19a30d319d14,Complete
,Daniel Loeb,Third Point,0001040273,"$2,800,000,000","Dan Loeb is the founder of Third Point, a hedge fund that manages some $15 billion. Loeb is known for launching activist campaigns against corporate boards, shaking up companies in various industries and countries.",https://www.forbes.com/profile/daniel-loeb/?list=rtb/#4f7a951d7c2d,Complete
,Warren Stephens,Stephens Inc.,0000757657,"$2,300,000,000","Stephens Inc., his Little Rock investment bank, was founded by his uncle Witt in 1933; his father Jackson joined in 1946. Stephens grew up in the business, became CEO in 1986 and bought out his cousins in 2006.",https://www.forbes.com/profile/warren-stephens/?list=rtb/#6f3acead3a83,Complete
,Henry Laufer,Renaissance Technologies,0001037389,"$2,100,000,000","Laufer joined legendary quantitative hedge fund Renaissance Technologies, founded by Jim Simons, in 1992. He was its chief scientist and vice president of research until retiring in 2009. Laufer still has a stake in Renaissance, which now manages some $68 billion.",https://www.forbes.com/profile/henry-laufer/?list=rtb/#31b065260303,Complete
,David Gottesman,First Manhattan Co,0000728083,"$2,100,000,000","David Gottesman's fortune mostly comes from his early investment in Berkshire Hathaway, on whose board he sits. Gottesman co-founded the investment firm First Manhattan Co., which was an early investor in Berkshire Hathaway. The firm now has over $20 billion in assets under management.",https://www.forbes.com/profile/david-gottesman/?list=rtb/#3eeb3cc05063,Complete
,Jeffrey Gundlach,DoubleLine Capital,0001539747,"$2,100,000,000","Gundlach is the co-founder of mutual fund company, DoubleLine Capital, which manages more than $140 billion in assets. The bond-trader extraordinaire is known for his bold calls and correctly predicted the housing crash in 2007.",https://www.forbes.com/profile/jeffrey-gundlach/?list=rtb/#79b786f57843,Complete
,Glenn Dubin,Highbridge Capital Management,0000919185,"$2,000,000,000","Glenn Dubin is the founder of Engineer's Gate, a quantitative trading hedge fund. Dubin's fortune comes from Highbridge Capital, which he co-founded in 1992 and then sold to JP Morgan Chase in 2004. He is chairman of Castleton Commodities, an energy firm he bought with an investor group that included Paul Tudor Jones in 2012.",https://www.forbes.com/profile/glenn-dubin/?list=rtb/#3bebb7fc318f,Complete
,Henry Swieca,Highbridge Capital Management,0000919185,"$1,800,000,000","A Wall Street veteran, Henry Swieca cofounded hedge fund firm Highbridge Capital Management in 1992 with childhood friend Glenn Dubin. The duo sold part of the business to JP Morgan Chase in 2004 and the rest in 2009. After the sale, Swieca opened Talpion Fund, which manages his own fortune.",https://www.forbes.com/profile/henry-swieca/?list=rtb/#1a4bf723655d,Complete
,Marc Lasry,Avenue Capital Management ,0001317338,"$1,800,000,000",Marc Lasry and his sister Sonia founded Avenue Capital Management in 1995 with $7 million in funding from friends and family. The firm manages about $10 billion in assets and focuses on distressed and undervalued securities.,https://www.forbes.com/profile/marc-lasry/?list=rtb/#6cbc4f1a76a0,Complete
,Jeffrey Talpins,Element Capital Management LLC,0001535630,"$1,700,000,000","Jeffrey Talpins runs Element Capital Management, a hedge fund firm with $17 billion under management that specializes in macro trading. Element has been one of the best performing hedge funds since it was founded in 2005, posting annualized returns in excess of 20%. A former Citigroup and Goldman Sachs trader, Talpins invests across bonds, currencies and stocks.",https://images.wsj.net/im-39941?width=620&size=1.5,Complete
,J. Tomilson Hill,M&A Department,0001249319,"$1,700,000,000","Mergers and acquisitions maven J. Tomilson ""Tom"" Hill started off his career at investment bank First Boston, where he co-founded the M&A department. Hill later became a partner at Lehman Brothers, where he befriended Blackstone cofounders, Peter Peterson and Stephen Schwarzman. In 1993, after being ousted as co-CEO at Lehman, he joined Peterson and Schwarzman at Blackstone, their growing private equity firm.",https://www.forbes.com/profile/j-tomilson-hill/?list=rtb/#452d393b4bb4,Complete
,Brian Higgins,King Street Capital Management,0001218199,"$1,600,000,000","Brian Higgins is the cofounder of King Street Capital Management, a distressed-debt focused hedge fund. He started King Street in 1995 with fellow billionaire O. Francis Biondi, whom he met on First Boston's high-yield desk in the late 1980's. King Street Capital Management managed $19 billion of assets as of June 30, 2017.",Cannot verify his photo - google it ,Complete
,O. Francis Biondi,King Street Capital Management,0001218199,"$1,600,000,000",O. Francis Biondi cofounded hedge fund King Street Capital Management in 1995 with fellow First Boston alum Brian Higgins and is managing director for the firm. King Street focuses on out-of-favor investments in stocks and bonds.,http://investments.yale.edu/governance,Complete
,Nicolas Berggruen,Berggruen Holdings ,0001384956,"$1,600,000,000","The son of a wealthy art collector, Nicolas Berggruen first worked in real estate for Bass Brothers Enterprises before founding Berggruen Holdings in 1985 to manage his family fortune. In 1988, he co-founded Alpha Investment Management, a fund of hedge funds operation that was sold to Safra Bank in 2004 for an undisclosed amount.",https://www.forbes.com/profile/nicolas-berggruen/?list=rtb/#3c05379e26a3,Complete
,Louis Bacon,"Moore Capital Management, LP",0001448574,"$1,500,000,000","One of Wall Street's macro-trading legends, Louis Bacon cut his teeth as a commodities and currencies trader, earning big profits in the 1987 crash. He created hedge fund Moore Capital in 1989 using trading profits and a small inheritance.",https://www.forbes.com/profile/louis-bacon/?list=rtb/#28456d38152b,Complete
,Seth Klarman,Baupost Group LLC,0001061768,"$1,500,000,000","Investment legend Seth Klarman runs Boston-based firm Baupost. With $32 billion under management, Baupost is one of the largest hedge funds. Klarman is seen as an expert in value investing. ",https://www.forbes.com/profile/seth-klarman/?list=rtb/#e75a6414d759,Complete
,Bill Gross,PIMCO,0001163368,"$1,500,000,000","Gross co-founded PIMCO, an investment management firm, in 1971 and became known as a superstar bond fund manager. He decamped in 2014, and joined Janus Henderson to manage a global macro bond fund; he retired in March 2019.",https://www.forbes.com/profile/bill-gross/?list=rtb/#45a5ea8d35b9,Complete
,David Booth,Dimensional Fund Advisors LP,0000354204,"$1,600,000,000","When David Booth co-founded Dimensional Fund Advisors in 1981, he began a decades-long experiment in applying academic theory to real-world investing. His former professor Eugene Fama authored the efficient markets hypothesis, which argues that it's impossible to consistently beat the market. In light of Fama's research, Booth eschewed stock picking and focused on offering investors low-cost, passive mutual funds.",https://www.forbes.com/profile/david-booth/?list=rtb/#4db61a4c57ec,Complete
,Hamilton James,Blackstone Group Inc,0001393818,"$1,500,000,000","Hamilton James was recruited to Blackstone Group in 2002 to help run its rapidly-expanding private equity and asset management business. As the COO and president, James oversaw Blackstone's rise to the biggest buyout firm on the planet, with $545 billion in assets under management. He handed day-to-day management duties to Blackstone head of real estate Jonathan Gray in February 2018 but remains involved as executive vice-chair.",https://www.forbes.com/profile/hamilton-james/?list=rtb/#2e4652a053d5,Complete
,Ron Burkle,Yucaipa Companies,0001015905,"$1,400,000,000","The son of a grocer, Ron Burkle started working at the market at age 13. He formed investment firm Yucaipa Companies, LLC in 1986 and bagged big returns buying and selling supermarket chains Fred Meyer, Jurgensen's, Ralphs and others. Burkle primarily invests in private companies that support the food trade, in areas like logistics, cold storage, and food safety.",https://www.forbes.com/profile/ron-burkle/?list=rtb/#269687c44460,Complete
,Philippe Laffont,Coatue Management,0001135730,"$1,400,000,000","Philippe Laffont runs Coatue Management, a hedge fund and venture capital that focusses on technology-themed investing. Laffont founded Coatue Management in 1999. He is a so-called Tiger Cub, having spent time working at Julian Robertson's Tiger Management hedge fund.",https://www.forbes.com/profile/philippe-laffont/?list=rtb/#76f6d8539fe8,Complete
,Herbert Allen Jr,Allen & Co Inc,0001027746,"$1,400,000,000","Herbert Allen controls boutique investment bank Allen & Co., which focuses on tech companies. Allen & Co. has had a hand in several large tech IPOs of the last decade, including Twitter, Groupon, and LinkedIn. The firm was founded as an investment partnership in 1922 by Allen's uncle Charles.",https://www.forbes.com/profile/herbert-allen-jr/?list=rtb/#6cf70e145b4e,Complete
,Fayez Sarofim,Fayez Sarofim & Co,0000937729,"$1,300,000,000","Octogenarian investment manager, Fayez Sarofim, is Chairman and Co-Chief Investment Officer of money management firm Fayez Sarofim & Co. Sarofim, nicknamed ""The Sphinx,"" was one of the first investors in energy pipeline firm Kinder Morgan.",https://www.forbes.com/profile/fayez-sarofim/?list=rtb/#29975aba3b9c,Complete
,Joseph Edelman,Perceptive Advisors Llc,0001224962,"$1,200,000,000","Joseph Edelman is CEO and portfolio manager of Perceptive Advisors, a New York-based hedge fund firm with $5 billion under management. Edelman founded Perceptive Advisors in 1999 and focuses on investing in biotechnology stocks.",https://www.forbes.com/profile/joseph-edelman/?list=rtb/#3a67944cef92,Complete
,J. Christopher Flowers,J.C Flowers Securities Co. LLC,0001583733,"$1,200,000,000","J. Christopher Flowers runs private equity firm J.C. Flowers & Co., which focuses on the financial services sector. In 2008, Flowers helped advise Bank of America and Merrill Lynch on their merger.",https://www.jcfco.com/team/j-christopher-flowers/,Complete
,Michael Price,MFP Investors LLC,0001105685,"$1,100,000,000","Michael Price runs MFP Investors, a New York-based hedge fund with over $1 billion in assets. Price began his career in finance as a research assistant at Heine Securities in 1975 and bought the company after Michael Heine died in 1988. Price increased the value of the firm's assets under management to $17 billion before selling it to Franklin Securities for $670 million in 1996.",https://www.forbes.com/profile/michael-price/?list=rtb/#2ce8655e6379,Complete
,Richard Kayne,Kayne Anderson Capital Advisors LP,0000949615,"$1,100,000,000",Richard Kayne co-founded alternative asset manager Kayne Anderson Capital Advisors. The $26 billion (assets under management) company is the largest investor in energy pipelines in the United States. He launched Kayne Anderson in 1984 and remains its co-chairman.,https://www.forbes.com/profile/richard-kayne/?list=rtb/#4a4899184745,Complete
,Michael Steinhardt,"WisdomeTree Investments, Inc",0000880631,"$1,100,000,000","A pioneer of the modern hedge fund, Michael Steinhardt closed his fund in 1995 after making a fortune in the 1990s from stellar returns. He came out of retirement a decade later to help run WisdomTree Investments for 15 years, where he was the chairman and a leading shareholder. WisdomTree is a publicly-traded asset manager that focuses on ETF investing.",https://www.forbes.com/profile/michael-steinhardt/?list=rtb/#6248ca225466,Complete
,Lowell Milken,"Heron Financial Group, LLC",0001803648,"$1,000,000,000","Lowell Milken is the younger brother and the former right-hand man of former financier Michael Milken. Lowell is the chairman and partial owner of Heron International, a London-based real estate firm that develops, invests in and manages properties.",https://www.forbes.com/profile/lowell-milken/?list=rtb/#3568fae73b8a,Complete
